Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
econh2 classical 0 random 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
trinks classical 11 perturbation 0.12 0.06 0.04 0.01 0.03 13 109 5 29 16
r8_2_2 classical 29 perturbation 39.65 0.92 0.44 1.21 37.25 128 5194 9 779 651
solotarev F4 23 perturbation 0.05 0.02 0.01 0.01 0.01 7 36 3 79 15
extcyc5h F4 26 perturbation 1.94 0.04 0.02 0.05 1.74 41 3069 12 1155 87
wu90h F4 24 random 0.24 0.03 0.02 0.03 0.14 30 508 8 521 81
r7_2_2 classical 8 perturbation 5.67 0.36 0.21 0.29 4.93 67 1487 8 339 272
binomial_6_2_6_7 F4 24 random 0.06 0.03 0.02 0.01 0.01 12 24 4 124 58
econ3 classical 17 perturbation 0.02 0.01 0.01 0.00 0.00 3 9 2 3 0
buchberger87 classical 7 perturbation 0.05 0.03 0.02 0.00 0.00 8 16 6 17 9
lichtblau F4 23 perturbation 0.49 0.03 0.02 0.04 0.38 8 563 9 381 33
wu90 classical 12 perturbation 0.14 0.05 0.03 0.01 0.06 13 166 4 32 18
sendrah classical 11 perturbation 0.04 0.01 0.01 0.00 0.02 7 221 14 9 2
bench2h F4 24 random 8.68 0.05 0.02 3.17 4.85 257 5379 10 9143 2362
rabmo F4 9 random 13.60 0.20 0.08 7.05 5.91 20 169 3 5169 755
cyclicnh2 F4 19 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
reimer5h F4 29 perturbation 24.07 0.15 0.07 1.87 20.87 157 13756 16 10171 1333
r7_2_2 F4 7 perturbation 0.88 0.04 0.02 0.24 0.49 67 1487 8 1056 488
bench1 F4 4 perturbation 6.73 0.21 0.12 3.82 2.34 97 3808 4 3509 1130
fmtm classical 14 perturbation 0.05 0.03 0.02 0.00 0.00 8 16 7 15 7
econh3 classical 13 random 0.03 0.02 0.01 0.00 0.00 4 11 4 5 1
binomial_6_3_6_6 F4 0 random 0.06 0.03 0.02 0.01 0.01 11 22 5 101 40
czapor87_1h classical 15 perturbation 0.14 0.07 0.04 0.01 0.05 12 156 5 30 18
r6_2_2 classical 5 random 1.23 0.27 0.19 0.09 0.83 39 498 7 162 123
buchberger87 F4 1 random 0.06 0.03 0.02 0.00 0.01 8 16 6 38 10
berth F4 20 perturbation 0.09 0.02 0.02 0.00 0.05 3 111 26 71 1
reimer5h F4 11 perturbation 38.79 0.18 0.07 2.45 34.38 193 22885 16 11906 1595
cyclicn2 F4 11 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
issac97 F4 10 random 0.15 0.03 0.01 0.01 0.10 10 170 8 308 30
berth F4 1 random 0.11 0.03 0.02 0.00 0.05 3 111 26 71 1
el44 classical 26 perturbation 38.13 2.75 1.26 11.34 23.68 15 100 4 557 359
bench1 classical 28 random 48.78 1.08 0.42 1.95 45.32 47 2774 8 496 325
katsuran2 F4 21 random 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
econh3 classical 9 random 0.04 0.02 0.01 0.00 0.00 4 11 4 5 1
econh8 F4 6 perturbation 3.48 0.06 0.04 0.38 2.79 101 4184 12 3803 600
el44 F4 19 perturbation 9.78 0.44 0.21 4.95 4.06 14 79 2 5024 435
hairer3 F4 21 perturbation 0.01 0.00 0.00 0.00 0.00 1 1 0 0 0
rabmo classical 6 random 12.27 0.86 0.36 1.51 9.73 20 169 3 288 162
wu90h classical 18 perturbation 7.49 0.79 0.39 1.56 4.99 22 316 8 544 444
sym33 classical 0 static 0.03 0.00 0.00 0.00 0.02 10 85 10 18 8
binomial_6_2_6_7 classical 5 perturbation 0.09 0.05 0.04 0.01 0.01 9 18 3 28 16
dessin1h F4 29 perturbation 3.55 0.04 0.03 0.12 3.24 56 2152 11 3438 244
binomial_5_3_4_6 F4 0 static 0.03 0.00 0.00 0.01 0.01 16 32 9 131 41
berth classical 14 perturbation 0.96 0.17 0.12 0.15 0.60 4 152 24 146 110
liu F4 7 perturbation 0.12 0.03 0.02 0.01 0.06 16 148 9 355 50
roseh classical 3 perturbation 0.35 0.07 0.05 0.04 0.21 20 565 17 94 65
cyclicn2 classical 19 random 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
lichtblau classical 22 random 0.04 0.02 0.01 0.00 0.00 2 22 11 2 0
issac97 classical 2 random 0.12 0.05 0.03 0.01 0.05 12 180 5 30 18
hfe_segers F4 6 random 0.51 0.04 0.02 0.29 0.12 41 192 3 1027 507
r8_2_2 F4 1 random 3.63 0.04 0.02 0.97 2.22 128 5194 9 2329 1087
rose F4 26 perturbation 7.03 0.18 0.10 1.49 5.14 9 282 22 6698 360
reimer5 F4 2 perturbation 4.64 0.07 0.04 0.42 3.95 38 2625 8 2492 210
hairer3 classical 8 perturbation 0.09 0.08 0.03 0.00 0.00 1 1 0 1 0
krider classical 14 random 24.35 1.52 0.72 9.56 12.85 25 129 10 872 650
cyclicn4-simple F4 2 perturbation 0.04 0.02 0.01 0.00 0.01 7 30 6 41 5
sendrah classical 28 random 0.05 0.02 0.01 0.00 0.01 7 221 14 9 2
syz1 F4 4 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
syz1 classical 28 random 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
reimer5h F4 9 perturbation 25.34 0.16 0.07 1.89 22.04 157 13756 16 10171 1333
econh3 F4 14 random 0.04 0.02 0.01 0.00 0.00 4 11 4 8 1
katsuranh2 classical 0 localsearch 0.04 0.03 0.01 0.00 0.00 2 5 2 2 0
czapor87_2h classical 0 localsearch 1.75 1.63 0.71 0.01 0.08 13 197 5 33 20
f744 classical 15 perturbation 73.95 2.26 1.03 3.15 68.16 87 3932 4 762 609
binomial_8_4_8_9 F4 2 random 0.07 0.04 0.02 0.00 0.01 9 18 7 120 41
cyclicn5-simple F4 12 random 0.35 0.06 0.03 0.12 0.13 20 232 8 575 157
binomial_4_2_4_1 F4 9 random 0.04 0.02 0.01 0.00 0.00 6 12 3 40 14
bench1 F4 28 perturbation 67.25 0.62 0.27 18.94 46.24 84 4897 4 22127 1491
r5_2_2 classical 26 perturbation 0.24 0.07 0.05 0.02 0.12 21 160 6 68 47
czapor87_2h classical 3 random 0.13 0.05 0.03 0.01 0.06 12 180 5 30 18
redcyc6h classical 19 random 114.48 2.42 0.91 3.89 107.63 117 4617 22 1097 816
hairer1 F4 2 random 0.11 0.04 0.02 0.01 0.05 13 119 8 171 16
binomial_8_4_8_9 F4 9 perturbation 0.08 0.06 0.04 0.00 0.01 9 18 7 108 40
i1 classical 12 perturbation 76.08 2.69 1.23 12.37 60.48 52 2784 5 1103 885
schieleh F4 5 random 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
katsuranh2 F4 17 random 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
extcyc5 F4 22 random 12.96 0.21 0.08 3.90 7.58 102 6728 10 5408 2031
wang16h F4 6 perturbation 0.24 0.02 0.02 0.03 0.15 33 809 9 420 73
binomial_4_2_4_1 F4 20 random 0.04 0.03 0.01 0.00 0.00 6 12 3 40 14
binomial_6_2_6_7 classical 15 random 0.09 0.06 0.03 0.01 0.01 12 24 4 34 22
katsuran8 classical 15 random 21.02 0.54 0.22 0.35 19.96 74 6823 8 381 307
issac97 F4 13 random 0.09 0.01 0.01 0.01 0.05 12 180 5 176 40
r7_2_2 F4 0 caboara-perry 3.98 2.74 0.53 0.51 0.59 73 1647 8 1053 365
reimer5 classical 10 random 31.04 0.89 0.31 1.25 28.69 27 1303 8 327 175
binomial_5_3_4_4 classical 2 perturbation 0.05 0.02 0.01 0.00 0.00 11 22 7 27 16
katsuranh3 classical 2 random 0.04 0.02 0.01 0.00 0.00 4 16 3 5 1
cyclicnh2 F4 6 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
dessin2h F4 19 random 3.83 0.04 0.02 0.54 3.03 90 2838 7 3884 586
solotarevh classical 0 caboara-perry 0.08 0.04 0.02 0.01 0.02 9 51 6 19 10
czapor87_1h classical 23 random 0.16 0.08 0.04 0.01 0.05 12 156 5 30 18
redcyc6 classical 28 random 6.87 0.42 0.19 0.39 5.94 21 493 6 272 173
trinks classical 16 random 0.12 0.06 0.03 0.01 0.04 13 109 5 29 16
katsuran2 F4 11 random 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
reimer5h classical 5 random 250.50 3.36 0.64 1.96 244.38 248 78441 21 1120 866
katsuran6-simple classical 20 perturbation 0.47 0.10 0.06 0.02 0.31 22 528 6 70 48
r6_2_2_h classical 5 perturbation 1.07 0.18 0.11 0.08 0.75 39 498 7 162 123
redcyc6 F4 27 random 7.44 0.22 0.10 1.31 5.61 20 486 12 5068 448
katsuranh2 F4 9 random 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
