instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
cyclicnh5 classical 6 random 0.25 0.12 0.09 0.02 0.09 12 149 7 36 16 32 2.00 5
katsuran5 classical 9 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 0 static 0.19 0.00 0.00 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 10 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 0 caboara-perry 1.94 0.56 0.44 0.14 1.08 9 135 24 114 55 4801 533.00 669
cyclicn5 classical 14 perturbation 0.99 0.24 0.22 0.05 0.65 23 295 8 124 83 2035 88.00 237
katsuran5 classical 11 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh6 classical 26 perturbation 1.82 0.58 0.49 0.05 1.14 34 1540 9 101 66 229 6.00 18
katsuran5 classical 12 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 0 caboara-perry 0.79 0.24 0.19 0.02 0.49 12 193 6 32 16 14252 1187.00 1734
cyclicnh5 classical 7 random 1.04 0.55 0.42 0.06 0.38 22 306 13 104 67 119 5.00 28
katsuran5 classical 13 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 0 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 15 perturbation 0.95 0.23 0.21 0.05 0.63 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 8 random 0.31 0.19 0.14 0.01 0.09 11 146 7 32 14 57 5.00 28
cyclicn5 classical 0 perturbation 1.09 0.27 0.23 0.05 0.72 23 295 8 124 83 2035 88.00 237
katsuran5 classical 14 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 1 perturbation 0.35 0.15 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 15 random 0.32 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 2 perturbation 0.34 0.15 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 16 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 16 perturbation 0.95 0.23 0.21 0.05 0.62 23 295 8 124 83 2035 88.00 237
katsuran5 classical 3 perturbation 0.34 0.15 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 9 random 1.05 0.26 0.19 0.05 0.69 41 623 13 124 83 4181 101.00 237
cyclicn5 classical 1 perturbation 1.06 0.26 0.23 0.05 0.70 23 295 8 124 83 2035 88.00 237
katsuran5 classical 17 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 4 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh6 classical 27 perturbation 2.03 0.82 0.73 0.04 1.12 34 1540 9 101 66 229 6.00 18
katsuran5 classical 18 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 5 perturbation 0.35 0.14 0.13 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 19 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 17 perturbation 0.95 0.23 0.21 0.05 0.62 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 10 random 0.96 0.26 0.19 0.10 0.56 13 179 8 108 68 66 5.00 28
katsuran5 classical 6 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 20 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 2 perturbation 1.08 0.26 0.23 0.05 0.71 23 295 8 124 83 2035 88.00 237
katsuran5 classical 7 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 21 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 11 random 0.48 0.25 0.19 0.03 0.17 16 225 10 60 34 95 5.00 28
katsuran5 classical 8 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 22 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 18 perturbation 0.97 0.23 0.21 0.05 0.64 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 12 random 0.40 0.18 0.14 0.03 0.16 13 194 8 53 28 45 3.00 8
katsuran5 classical 23 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 9 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh6 classical 28 perturbation 1.81 0.57 0.49 0.05 1.14 34 1540 9 101 66 229 6.00 18
cyclicn5 classical 3 perturbation 1.08 0.26 0.23 0.05 0.71 23 295 8 124 83 2035 88.00 237
katsuran5 classical 24 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 10 perturbation 0.34 0.14 0.13 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 25 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 11 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 19 perturbation 0.95 0.23 0.21 0.04 0.62 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 13 random 1.06 0.25 0.19 0.05 0.70 41 623 13 124 83 4181 101.00 237
katsuran5 classical 26 random 0.32 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 12 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 27 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 4 perturbation 1.06 0.25 0.23 0.05 0.70 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 14 random 0.43 0.11 0.09 0.03 0.25 20 312 12 60 32 141 7.00 30
katsuran5 classical 13 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 28 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 15 random 0.31 0.19 0.14 0.01 0.09 11 146 7 32 14 57 5.00 28
cyclicn5 classical 20 perturbation 0.95 0.24 0.21 0.04 0.62 23 295 8 124 83 2035 88.00 237
katsuran5 classical 14 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 29 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh6 classical 29 perturbation 1.80 0.58 0.49 0.04 1.13 34 1540 9 101 66 229 6.00 18
cyclicnh5 classical 16 random 0.36 0.11 0.09 0.03 0.19 18 255 8 52 27 117 6.00 37
katsuran5 classical 15 perturbation 0.34 0.14 0.13 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 0 static 0.20 0.00 0.00 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 17 random 0.31 0.18 0.14 0.02 0.10 11 160 7 32 14 63 5.00 31
cyclicn5 classical 5 perturbation 1.09 0.26 0.23 0.05 0.72 23 295 8 124 83 2035 88.00 237
katsuran5 classical 16 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 21 perturbation 0.97 0.24 0.21 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuran5 classical 17 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 0 caboara-perry 0.77 0.38 0.29 0.02 0.32 14 198 5 34 20 4883 348.00 1125
katsuran5 classical 18 perturbation 0.35 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 0 perturbation 0.39 0.19 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 18 random 1.06 0.26 0.19 0.05 0.69 41 623 13 124 83 4181 101.00 237
cyclicn5 classical 6 perturbation 1.05 0.26 0.23 0.05 0.69 23 295 8 124 83 2035 88.00 237
katsuran5 classical 19 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 22 perturbation 0.97 0.24 0.21 0.05 0.63 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 19 random 0.28 0.11 0.09 0.02 0.12 16 205 10 46 23 64 4.00 29
katsuranh5 classical 1 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 20 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 2 perturbation 0.38 0.18 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 20 random 0.40 0.19 0.14 0.03 0.16 17 235 9 49 25 82 4.00 33
katsuran5 classical 21 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 21 random 0.34 0.18 0.14 0.02 0.11 13 166 8 38 18 80 6.00 31
katsuranh5 classical 3 perturbation 0.38 0.18 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 7 perturbation 1.08 0.26 0.23 0.05 0.72 23 295 8 124 83 2035 88.00 237
katsuran5 classical 22 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 23 perturbation 0.97 0.24 0.21 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 4 perturbation 0.38 0.18 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 13 random 0.33 0.13 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 23 perturbation 0.35 0.15 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 22 random 0.60 0.30 0.26 0.03 0.24 21 280 13 62 34 178 8.00 31
katsuranh5 classical 5 perturbation 0.38 0.18 0.16 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 14 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 24 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 23 random 0.33 0.18 0.14 0.02 0.11 16 228 11 45 24 80 5.00 28
katsuranh5 classical 15 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 6 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 25 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 24 perturbation 0.99 0.24 0.22 0.05 0.65 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 24 random 0.46 0.26 0.19 0.03 0.15 12 172 8 60 36 54 4.00 14
katsuranh5 classical 16 random 0.33 0.13 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 26 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 7 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 17 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 27 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 8 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 18 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 25 perturbation 0.96 0.24 0.21 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuran5 classical 28 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 9 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 19 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 25 random 1.05 0.26 0.19 0.05 0.69 41 623 13 124 83 4181 101.00 237
katsuran5 classical 29 perturbation 0.34 0.14 0.13 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 10 perturbation 0.38 0.17 0.16 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 20 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 26 random 0.39 0.18 0.14 0.03 0.15 12 171 7 50 26 39 3.00 6
katsuran5 classical 0 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 11 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 21 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 26 perturbation 1.01 0.25 0.22 0.05 0.66 23 295 8 124 83 2035 88.00 237
katsuran5 classical 1 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 27 random 0.45 0.25 0.19 0.02 0.15 17 240 13 51 27 59 3.00 15
katsuranh5 classical 12 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 22 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuran5 classical 2 random 0.31 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 28 random 0.41 0.18 0.14 0.03 0.17 17 235 9 49 25 82 4.00 33
katsuranh5 classical 23 random 0.33 0.12 0.09 0.01 0.18 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 13 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 3 random 0.30 0.10 0.08 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 4 random 0.30 0.10 0.08 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 27 perturbation 0.97 0.24 0.22 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 14 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh6 classical 0 random 6.72 0.67 0.45 0.20 5.71 46 1997 13 230 155 842 18.00 44
katsuran5 classical 5 random 0.31 0.10 0.08 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 15 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 6 random 0.31 0.10 0.08 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicnh5 classical 29 random 1.01 0.26 0.20 0.05 0.66 41 623 13 124 83 4181 101.00 237
katsuranh5 classical 16 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran5 classical 7 random 0.30 0.10 0.08 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 28 perturbation 0.95 0.23 0.21 0.04 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 17 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 18 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 19 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 29 perturbation 1.01 0.25 0.22 0.05 0.67 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 20 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 21 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 22 perturbation 0.38 0.17 0.16 0.01 0.18 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 0 random 1.17 0.46 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 23 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 24 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 1 random 0.93 0.22 0.17 0.04 0.62 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 25 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 26 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran6 classical 18 random 3.74 0.12 0.09 0.02 3.53 21 518 6 66 45 16686 794.00 3127
katsuranh5 classical 27 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 2 random 0.93 0.22 0.17 0.04 0.62 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 28 perturbation 0.37 0.17 0.16 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 29 perturbation 0.37 0.17 0.15 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 3 random 0.94 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 0 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 1 random 0.43 0.23 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 24 random 6.90 0.19 0.14 0.04 6.59 29 427 16 104 72 38957 1343.00 5074
katsuranh5 classical 2 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 25 random 0.29 0.11 0.08 0.01 0.16 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 4 random 0.95 0.23 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 3 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 26 random 0.30 0.11 0.08 0.01 0.16 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 4 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 27 random 0.30 0.11 0.08 0.01 0.16 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 28 random 0.30 0.11 0.08 0.01 0.16 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 5 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 5 random 0.94 0.22 0.17 0.05 0.62 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 29 random 0.30 0.11 0.08 0.01 0.16 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 6 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuran6 classical 19 random 3.69 0.11 0.09 0.02 3.49 21 518 6 66 45 16686 794.00 3127
katsuranh5 classical 7 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 8 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 6 random 0.94 0.22 0.17 0.04 0.63 23 295 8 124 83 2035 88.00 237
katsuranh5 classical 9 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 10 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh5 classical 11 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 7 random 1.07 0.29 0.22 0.06 0.67 25 313 8 137 89 1928 77.00 243
katsuranh5 classical 12 random 0.32 0.12 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
cyclicn5 classical 8 random 0.96 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuran6 classical 0 static 3.53 0.00 0.00 0.02 3.45 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 9 random 0.96 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuran6 classical 20 random 3.75 0.22 0.08 0.02 3.46 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 10 random 0.95 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 11 random 0.95 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 23 random 3.85 0.13 0.09 0.02 3.63 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 12 random 0.94 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 13 random 0.95 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuran6 classical 21 random 3.65 0.11 0.08 0.02 3.46 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 14 random 0.95 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 24 random 3.84 0.13 0.09 0.02 3.62 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 0 caboara-perry 7.10 0.57 0.36 0.09 6.33 23 603 6 72 49 22895 995.00 3567
cyclicn5 classical 15 random 2.84 0.29 0.22 0.16 2.11 16 198 26 191 118 11117 694.00 796
katsuran6 classical 22 random 3.69 0.11 0.09 0.02 3.49 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 16 random 1.06 0.33 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
cyclicn6 classical 18 perturbation 41.35 1.43 1.00 0.40 38.68 46 1168 10 425 312 12769 277.00 674
katsuranh6 classical 25 random 3.91 0.12 0.09 0.02 3.70 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 0 perturbation 3.74 0.18 0.15 0.02 3.48 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 23 random 3.71 0.11 0.08 0.02 3.51 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 17 random 3.19 0.62 0.45 0.17 1.86 12 144 36 157 88 9841 820.00 981
cyclicn5 classical 18 random 1.01 0.24 0.18 0.05 0.67 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 26 random 3.81 0.13 0.09 0.02 3.59 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 1 perturbation 3.69 0.16 0.14 0.02 3.45 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 24 random 3.63 0.12 0.09 0.02 3.43 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 19 random 3.08 0.70 0.51 0.15 2.08 18 249 16 172 108 7313 406.00 594
cyclicn5 classical 20 random 0.96 0.23 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 27 random 3.74 0.12 0.09 0.02 3.52 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 2 perturbation 3.71 0.16 0.15 0.02 3.46 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 21 random 1.65 0.43 0.32 0.12 1.03 23 293 9 194 138 2430 105.00 249
katsuran6 classical 25 random 3.63 0.11 0.08 0.02 3.44 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 22 random 0.95 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 23 random 0.97 0.23 0.17 0.05 0.65 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 28 random 3.88 0.13 0.10 0.02 3.66 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 24 random 0.94 0.22 0.17 0.04 0.63 23 295 8 124 83 2035 88.00 237
katsuran6 classical 3 perturbation 3.68 0.16 0.14 0.02 3.45 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 26 random 3.64 0.11 0.08 0.02 3.45 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 25 random 0.95 0.22 0.17 0.05 0.63 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 26 random 0.96 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 27 random 0.96 0.23 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuranh6 classical 29 random 3.88 0.13 0.10 0.02 3.66 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 28 random 0.96 0.22 0.17 0.05 0.64 23 295 8 124 83 2035 88.00 237
katsuran6 classical 4 perturbation 3.71 0.16 0.14 0.02 3.47 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 27 random 3.62 0.11 0.08 0.02 3.43 21 518 6 66 45 16686 794.00 3127
cyclicn5 classical 29 random 0.99 0.22 0.17 0.05 0.67 23 295 8 124 83 2035 88.00 237
cyclicn6 classical 0 static 37.60 0.00 0.00 0.36 36.64 46 1168 10 425 312 12769 277.00 674
cyclicnh5 classical 0 static 0.71 0.00 0.00 0.04 0.63 41 623 13 124 83 4181 101.00 237
cyclicnh5 classical 0 caboara-perry 0.48 0.28 0.19 0.02 0.14 21 298 12 49 28 119 5.00 28
cyclicnh5 classical 0 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 1 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 2 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 3 perturbation 0.22 0.14 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 4 perturbation 0.21 0.14 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 5 perturbation 0.22 0.14 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 6 perturbation 0.22 0.14 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuran6 classical 5 perturbation 3.79 0.16 0.14 0.02 3.55 21 518 6 66 45 16686 794.00 3127
cyclicnh5 classical 7 perturbation 0.21 0.13 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 8 perturbation 0.22 0.14 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuran6 classical 28 random 3.65 0.11 0.08 0.02 3.46 21 518 6 66 45 16686 794.00 3127
cyclicnh5 classical 9 perturbation 0.21 0.13 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 10 perturbation 0.21 0.13 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh6 classical 1 random 41.62 0.94 0.59 0.35 39.90 113 3948 22 454 341 33081 292.00 665
cyclicnh5 classical 11 perturbation 0.21 0.14 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh5 classical 12 perturbation 0.21 0.14 0.12 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuran6 classical 6 perturbation 3.90 0.27 0.25 0.02 3.54 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 29 random 3.75 0.11 0.08 0.02 3.56 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 7 perturbation 3.68 0.16 0.14 0.02 3.44 21 518 6 66 45 16686 794.00 3127
katsuranh6 classical 0 static 3.59 0.00 0.00 0.02 3.51 21 518 6 66 45 16686 794.00 3127
katsuran6 classical 8 perturbation 3.66 0.16 0.14 0.02 3.42 21 518 6 66 45 16686 794.00 3127
