instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuran4-simple F4 0 localsearch 0.48 0.42 0.17 0.02 0.03 5 41 7 143 27
extcyc5 classical 0 localsearch 3237.24 3144.97 1363.53 6.08 84.06 6 322 175 846 461
econh8 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
sendra F4 0 localsearch 3.15 2.71 0.77 0.02 0.38 5 235 19 566 44
filter9 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
r5_2_2_h classical 0 localsearch 3.06 2.81 1.57 0.06 0.15 22 171 6 71 49
katsuran6-simple classical 0 localsearch 5.74 5.27 2.27 0.04 0.37 22 587 6 72 49
weispfenning94 F4 0 localsearch 3.04 2.73 1.23 0.02 0.25 15 600 10 680 100
sym33 F4 0 localsearch 0.71 0.57 0.30 0.00 0.11 8 101 12 619 18
roseh classical 0 localsearch 19.20 18.90 9.41 0.03 0.22 33 972 30 83 50
binomial_5_3_5_3 classical 0 localsearch 0.12 0.08 0.03 0.00 0.02 5 10 3 9 4
gerdt93 F4 0 localsearch 0.49 0.43 0.21 0.00 0.05 8 85 5 246 28
binomial_7_3_7_9 classical 0 localsearch 0.24 0.19 0.08 0.02 0.01 8 16 4 24 16
hairer3 classical 0 localsearch 0.02 0.00 0.00 0.00 0.00 1 1 0 1 0
katsuran6-simple F4 0 localsearch 37.00 30.47 11.52 1.86 4.42 6 193 32 5394 682
redcyc6h classical 0 localsearch 184.60 177.64 97.04 0.36 6.43 81 2930 16 292 211
sym33 classical 0 localsearch 0.88 0.82 0.50 0.01 0.03 12 122 10 23 11
rabmo F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
cyclicn5-permut classical 0 localsearch 7.87 7.45 4.87 0.08 0.28 10 89 15 105 65
econ2 classical 0 localsearch 0.02 0.01 0.00 0.00 0.00 2 4 1 2 0
cyclicnh3 F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
dessin1h F4 0 localsearch 98.99 89.80 12.65 0.56 8.28 51 1882 11 7674 911
binomial_5_3_5_5 classical 0 localsearch 0.12 0.08 0.03 0.01 0.02 5 10 3 7 2
dessin1 classical 0 localsearch 32.18 30.12 11.91 0.21 1.73 14 528 20 124 71
liu classical 0 localsearch 1.29 1.19 0.62 0.01 0.05 12 116 5 32 20
fmtmdeh F4 0 localsearch 0.19 0.16 0.07 0.01 0.01 5 10 13 91 16
econh3 classical 0 localsearch 0.09 0.07 0.03 0.00 0.00 4 17 4 5 1
cyclicnh3 classical 0 localsearch 0.06 0.04 0.01 0.00 0.00 3 8 3 3 0
wu90 F4 0 localsearch 4.89 4.25 2.12 0.27 0.32 5 85 16 1035 152
r6_2_2 classical 0 localsearch 22.21 20.86 8.58 0.27 1.00 41 535 7 169 128
wu90 classical 0 localsearch 3.52 3.27 1.68 0.04 0.17 6 102 14 36 8
r6_2_2_h classical 0 localsearch 21.71 20.45 8.34 0.24 0.94 41 535 7 169 128
cyclicn5-permut F4 0 localsearch 5.45 4.85 2.37 0.20 0.34 13 127 15 1296 330
katsuranh3 F4 0 localsearch 0.08 0.07 0.03 0.00 0.00 4 16 3 12 1
hfe_segers classical 0 localsearch 40.43 35.23 18.98 2.16 2.90 53 238 4 325 258
katsuranh2 F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
extcyc5h F4 0 localsearch 92.71 81.52 16.85 0.58 9.91 54 4277 13 6281 978
katsuran8 classical 0 localsearch 443.73 418.52 96.77 1.76 23.21 82 7945 8 424 342
rose classical 0 localsearch 19.00 18.23 9.93 0.08 0.62 8 247 46 90 31
i1 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
binomial_6_3_6_6 F4 0 localsearch 0.81 0.69 0.32 0.06 0.03 16 32 7 399 155
econ8 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
fmtm_non_hom F4 0 localsearch 0.04 0.03 0.01 0.00 0.00 2 4 4 8 1
schiele classical 0 localsearch 0.03 0.02 0.01 0.00 0.00 2 6 2 2 0
fabrice24h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
binomial_5_3_4_6 classical 0 localsearch 0.08 0.06 0.02 0.00 0.00 4 8 3 5 1
bench2h F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
reimer5 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
binomial_6_2_6_7 F4 0 localsearch 0.18 0.16 0.04 0.01 0.00 6 12 2 55 22
fmtm F4 0 localsearch 0.16 0.14 0.06 0.00 0.01 7 14 8 68 20
cyclicn5-simple classical 0 localsearch 7.93 7.48 4.73 0.08 0.31 10 89 15 105 65
cyclicn2 F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
binomial_5_3_4_4 F4 0 localsearch 0.19 0.16 0.07 0.00 0.01 8 16 5 95 31
katsuranh8 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
berthh F4 0 localsearch 271.91 238.83 74.50 4.41 26.32 127 12244 49 15945 4098
econh3 F4 0 localsearch 0.06 0.05 0.02 0.00 0.00 4 11 4 8 1
r8_2_2 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
r6_2_2_h F4 0 localsearch 7.31 6.49 2.15 0.39 0.34 40 519 7 1844 789
dessin2h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
r7_2_2 F4 0 localsearch 37.92 33.90 8.92 1.62 2.06 67 1487 8 4823 2214
cyclicn2 classical 0 localsearch 0.02 0.01 0.00 0.00 0.00 2 4 2 2 0
hairer1 F4 0 localsearch 0.75 0.48 0.19 0.00 0.26 9 116 6 308 11
wang16 F4 0 localsearch 755.88 295.32 89.04 57.73 395.20 4 100 24 162847 7353
bench2h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
schieleh F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
hemmecke classical 0 localsearch 0.06 0.05 0.02 0.00 0.00 3 10 15 3 0
