Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
el44 F4 5 perturbation 86.44 1.29 0.40 31.19 52.73 10 78 4 28483 835
liu classical 10 random 0.14 0.06 0.03 0.01 0.05 16 148 9 46 30
binomial_5_3_4_4 classical 8 random 0.05 0.03 0.01 0.00 0.00 11 22 7 27 16
cyclicnh2 F4 7 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
dessin1h classical 29 random 5.23 0.31 0.13 0.14 4.70 56 2152 11 243 187
uteshev_bikker classical 18 random 0.28 0.08 0.04 0.01 0.16 17 519 7 44 27
f744 F4 4 perturbation 8.03 0.09 0.05 3.78 3.73 87 3932 4 3892 819
redcyc6 F4 22 perturbation 2.31 0.15 0.08 0.47 1.51 21 493 6 1979 328
econh8 classical 2 perturbation 16.62 0.60 0.35 0.58 15.26 102 3620 9 524 421
assur44 F4 3 perturbation 18.24 0.24 0.09 6.48 10.65 74 3900 4 6309 1413
sendrah classical 0 caboara-perry 0.33 0.28 0.17 0.00 0.04 10 360 15 14 4
reimer5 F4 25 random 14.79 0.15 0.06 0.90 13.45 17 605 8 6704 166
liu F4 6 random 0.12 0.03 0.02 0.01 0.06 16 148 9 355 50
dessin2 classical 13 perturbation 3.87 0.28 0.16 0.18 3.33 46 1337 4 211 163
cyclicn5-permut classical 13 random 0.49 0.10 0.05 0.05 0.30 20 232 8 113 75
assur44 F4 2 perturbation 6.33 0.05 0.03 2.08 3.77 75 3858 4 2993 642
extcyc5 classical 23 perturbation 29.85 0.89 0.37 0.94 27.76 102 6728 10 663 498
binomial_8_3_8_16 classical 0 static 0.06 0.00 0.00 0.02 0.02 20 40 4 74 54
rose classical 28 perturbation 0.10 0.01 0.01 0.01 0.06 12 325 14 27 13
bench1 F4 0 caboara-perry 128.22 9.98 0.85 34.11 79.08 11 737 55 27856 554
assur44 classical 15 random 323.38 3.15 1.03 20.65 298.23 53 2860 6 1241 890
trinks classical 14 perturbation 0.13 0.07 0.04 0.01 0.03 13 109 5 29 16
fabrice24 F4 14 random 10.39 0.04 0.02 3.51 6.38 29 1112 6 4689 404
redcyc6 classical 11 perturbation 6.44 0.44 0.24 0.37 5.51 21 493 6 272 173
cyclicn4-simple classical 6 perturbation 0.03 0.01 0.01 0.00 0.00 7 30 6 12 5
czapor87_1h F4 5 random 0.10 0.03 0.01 0.01 0.05 12 156 5 197 39
hemmecke F4 10 random 0.01 0.00 0.00 0.00 0.00 3 16 15 0 0
cyclicn3 classical 14 perturbation 0.02 0.01 0.01 0.00 0.00 3 8 3 3 0
syz1 classical 3 random 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
sparsesym5h classical 0 caboara-perry 0.09 0.05 0.03 0.01 0.01 6 16 18 16 10
binomial_7_3_7_9 F4 8 perturbation 0.08 0.04 0.03 0.01 0.01 12 24 4 141 66
hfe_segers classical 21 perturbation 7.19 0.69 0.37 2.07 4.28 41 190 4 496 399
katsuran4-simple F4 0 random 0.05 0.02 0.01 0.00 0.01 7 49 4 60 12
czapor87_1h F4 0 caboara-perry 0.17 0.10 0.05 0.01 0.04 12 156 5 145 21
r7_2_2 F4 25 perturbation 0.90 0.04 0.02 0.24 0.50 67 1487 8 1056 488
binomial_8_4_8_9 classical 19 random 0.12 0.07 0.04 0.01 0.02 9 18 7 40 25
f744 F4 18 perturbation 8.31 0.10 0.05 3.77 3.99 87 3932 4 3892 819
binomial_6_2_6_7 F4 23 perturbation 0.06 0.03 0.02 0.01 0.01 9 18 3 74 31
