instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
binomial_7_4_7_8 classical 19 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
binomial_7_4_7_8 classical 20 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
binomial_7_4_7_8 classical 21 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
binomial_7_4_7_8 classical 22 perturbation 0.12 0.10 0.10 0.00 0.00 17 34 8 59 42
sendrah F4 4 perturbation 0.83 0.07 0.06 0.03 0.69 2 26 7 3381 130
binomial_7_4_7_8 classical 23 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
roseh classical 0 perturbation 1.99 0.50 0.41 0.51 0.90 28 924 21 582 476
binomial_7_4_7_8 classical 24 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
binomial_7_4_7_8 classical 25 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
sendrah F4 5 perturbation 0.35 0.07 0.06 0.02 0.24 2 26 7 1603 95
binomial_7_4_7_8 classical 26 perturbation 0.13 0.11 0.10 0.00 0.00 17 34 8 59 42
sendrah F4 6 perturbation 0.23 0.04 0.04 0.01 0.16 9 320 20 966 55
binomial_7_4_7_8 classical 27 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
binomial_7_4_7_8 classical 28 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
sendrah F4 7 perturbation 0.22 0.04 0.04 0.01 0.14 4 89 14 904 52
binomial_7_4_7_8 classical 29 perturbation 0.12 0.10 0.09 0.00 0.00 17 34 8 59 42
roseh classical 1 perturbation 0.70 0.26 0.22 0.09 0.31 17 517 21 201 134
binomial_7_4_7_8 F4 0 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 1 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 2 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 3 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 4 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 5 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 6 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 7 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 8 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 9 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 10 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
sendrah F4 8 perturbation 0.84 0.07 0.06 0.03 0.70 2 26 7 3381 130
binomial_7_4_7_8 F4 11 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 12 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 13 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 14 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 15 perturbation 0.08 0.07 0.06 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 16 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 17 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 18 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 19 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 20 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 21 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
sendrah F4 9 perturbation 0.77 0.07 0.06 0.03 0.63 5 171 13 1791 130
binomial_7_4_7_8 F4 22 perturbation 0.07 0.06 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 23 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 24 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 25 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 26 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 27 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 28 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 29 perturbation 0.07 0.05 0.05 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 classical 0 random 0.08 0.07 0.05 0.00 0.00 9 18 7 37 22
binomial_7_4_7_8 classical 1 random 0.09 0.07 0.05 0.00 0.00 9 18 7 37 22
krider classical 0 caboara-perry 4.54 1.14 0.92 0.34 2.97 16 87 11 241 127
binomial_7_4_7_8 classical 2 random 0.23 0.18 0.14 0.02 0.02 9 18 7 115 92
sendrah F4 10 perturbation 0.97 0.07 0.06 0.03 0.82 4 89 14 4083 132
binomial_7_4_7_8 classical 3 random 0.10 0.08 0.06 0.00 0.00 9 18 7 37 22
binomial_7_4_7_8 classical 4 random 0.29 0.22 0.18 0.02 0.03 9 18 7 135 112
binomial_7_4_7_8 classical 5 random 0.25 0.18 0.15 0.02 0.03 9 18 7 119 92
binomial_7_4_7_8 classical 6 random 0.09 0.07 0.05 0.00 0.01 9 18 7 37 22
sendrah F4 11 perturbation 0.77 0.07 0.06 0.03 0.63 5 171 13 1791 130
binomial_7_4_7_8 classical 7 random 0.20 0.15 0.12 0.01 0.02 9 18 7 83 62
binomial_7_4_7_8 classical 8 random 0.21 0.15 0.12 0.02 0.03 9 18 7 99 72
binomial_7_4_7_8 classical 9 random 0.09 0.07 0.05 0.00 0.01 9 18 7 37 22
binomial_7_4_7_8 classical 10 random 0.09 0.07 0.05 0.00 0.01 9 18 7 37 22
binomial_7_4_7_8 classical 11 random 0.09 0.07 0.05 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 12 random 0.22 0.17 0.14 0.01 0.03 9 18 7 83 62
binomial_7_4_7_8 classical 13 random 0.21 0.15 0.13 0.01 0.03 9 18 7 84 62
sendrah F4 12 perturbation 1.13 0.07 0.07 0.04 0.97 13 513 22 4090 139
binomial_7_4_7_8 classical 14 random 0.21 0.16 0.13 0.01 0.03 9 18 7 84 62
binomial_7_4_7_8 classical 15 random 0.10 0.08 0.06 0.00 0.01 9 18 7 36 22
sendrah F4 13 perturbation 0.24 0.05 0.05 0.01 0.16 4 89 14 904 52
binomial_7_4_7_8 classical 16 random 0.10 0.08 0.07 0.00 0.00 17 34 8 59 42
sendrah F4 14 perturbation 0.24 0.06 0.05 0.01 0.16 4 89 14 904 52
binomial_7_4_7_8 classical 17 random 0.20 0.17 0.16 0.00 0.01 9 18 7 40 23
binomial_7_4_7_8 classical 18 random 0.09 0.07 0.05 0.01 0.01 13 26 8 54 36
binomial_7_4_7_8 classical 19 random 0.09 0.07 0.05 0.00 0.01 9 18 7 37 22
binomial_7_4_7_8 classical 20 random 0.14 0.10 0.08 0.01 0.02 9 18 7 61 42
binomial_7_4_7_8 classical 21 random 0.09 0.07 0.05 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 22 random 0.09 0.06 0.05 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 23 random 0.10 0.08 0.06 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 24 random 0.11 0.08 0.07 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 25 random 0.10 0.07 0.06 0.00 0.01 9 18 7 36 22
