instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
gerdt93 F4 7 perturbation 0.08 0.03 0.02 0.00 0.03 7 63 5 149 15
syz1 F4 11 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
dessin2h classical 15 perturbation 41.70 0.77 0.42 1.82 38.81 109 3645 7 866 735
katsuran6-simple classical 4 random 0.59 0.18 0.04 0.02 0.36 22 528 6 70 48
bench2h F4 1 perturbation 13.02 0.11 0.07 3.96 8.14 293 7707 10 11912 2758
fmtmdeh F4 7 random 0.05 0.02 0.01 0.00 0.02 8 16 8 58 13
katsuranh3 F4 14 random 0.04 0.03 0.01 0.00 0.00 4 16 3 12 1
econh3 F4 0 random 0.03 0.02 0.01 0.00 0.00 4 11 4 8 1
berthh F4 1 random 19.08 0.90 0.47 6.26 10.67 59 4017 43 7165 2361
sparsesym5h F4 17 perturbation 0.01 0.00 0.00 0.00 0.00 6 16 18 42 10
solotarevh F4 17 random 0.06 0.03 0.02 0.00 0.01 10 50 6 98 25
sendrah classical 22 perturbation 0.14 0.12 0.01 0.00 0.02 7 221 14 9 2
r6_2_2_h classical 10 perturbation 1.09 0.16 0.10 0.08 0.80 39 498 7 162 123
i1 classical 29 perturbation 69.19 4.13 1.91 13.23 51.28 40 2047 6 1149 913
r5_2_4_h classical 15 perturbation 0.57 0.08 0.05 0.05 0.40 35 453 9 122 87
syz1 F4 16 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
gerdt93 F4 20 perturbation 0.08 0.03 0.02 0.00 0.03 7 63 5 149 15
fmtm classical 23 random 0.06 0.05 0.03 0.00 0.00 8 16 7 15 7
r6_2_2 classical 7 random 1.02 0.16 0.08 0.08 0.74 39 498 7 162 123
gerdt93 classical 19 random 0.07 0.03 0.01 0.00 0.02 9 109 6 18 9
schieleh F4 7 perturbation 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
binomial_5_3_4_6 F4 17 perturbation 0.04 0.03 0.02 0.00 0.00 9 18 9 48 13
binomial_8_3_8_16 F4 25 perturbation 0.13 0.06 0.04 0.05 0.01 20 40 4 280 146
cyclicnh2 F4 9 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
katsuranh2 classical 21 random 0.03 0.02 0.01 0.00 0.00 2 5 2 2 0
r5_2_2_h F4 7 perturbation 0.09 0.02 0.01 0.02 0.03 21 160 6 231 99
r8_2_2 classical 9 random 39.61 0.63 0.25 1.21 37.52 128 5194 9 779 651
solotarev F4 16 random 0.05 0.03 0.01 0.01 0.01 4 21 6 41 5
katsuran4-simple classical 18 perturbation 0.04 0.02 0.01 0.00 0.01 7 49 4 12 5
binomial_8_3_8_16 classical 26 random 0.12 0.07 0.04 0.02 0.01 13 26 4 52 36
hfe_segers classical 0 caboara-perry 5.46 0.49 0.14 2.03 2.81 51 240 5 310 243
hfe_segers classical 7 random 6.04 0.54 0.25 1.20 4.17 41 180 4 386 286
syz1 F4 15 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicn2 F4 17 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
krider classical 29 random 20.99 1.57 0.77 4.84 14.25 19 89 10 731 536
buchberger87 classical 15 random 0.04 0.03 0.01 0.00 0.00 8 16 6 17 9
sendrah classical 17 random 0.05 0.02 0.01 0.00 0.01 7 221 14 9 2
econh3 classical 9 perturbation 0.02 0.01 0.01 0.00 0.00 4 11 4 5 1
binomial_5_3_5_5 classical 24 random 0.08 0.05 0.03 0.01 0.00 8 16 6 24 14
assur44 F4 24 random 24.26 0.17 0.06 3.84 19.48 52 2606 8 9475 528
filter9 F4 18 random 94.09 0.38 0.17 83.92 9.17 153 1048 5 16082 5470
binomial_7_3_7_9 classical 25 random 0.11 0.06 0.03 0.01 0.01 12 24 4 47 31
cyclicn3 F4 16 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
katsuran4-simple F4 6 random 0.06 0.03 0.01 0.01 0.02 5 38 6 91 8
schieleh classical 12 perturbation 0.03 0.02 0.01 0.00 0.00 2 6 2 2 0
