instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
schrans_troost classical 3 random 79.40 1.04 0.34 1.15 76.73 128 18425 9 780 652
pinchon1h F4 0 perturbation 86.49 1.81 0.65 1.99 80.26 172 16797 20 19105 1348
extcyc6 F4 3 perturbation 155.54 1.60 0.25 36.55 107.37 242 37096 11 18243 5671
econ9 classical 0 static 56.53 0.00 0.00 1.78 54.48 106 8423 6 731 591
virasoro classical 3 perturbation 77.70 1.45 0.55 1.13 74.66 128 18425 9 780 652
bench1h F4 0 random NA NA NA NA NA NA NA NA NA NA
pinchon1 classical 4 random 96.56 2.48 0.58 4.04 89.11 108 6181 4 653 501
dl classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
filter9h classical 4 random NA NA NA NA NA NA NA NA NA NA
nya classical 4 random NA NA NA NA NA NA NA NA NA NA
hairer2 F4 1 perturbation 15.59 0.52 0.26 2.17 12.54 64 3704 5 8023 586
schrans_troost F4 1 random 19.07 0.05 0.03 0.79 17.18 128 18425 9 5408 1057
r9_2_2_h classical 3 perturbation 177.14 4.09 1.62 3.44 168.74 223 16426 10 1583 1360
r9_2_2_h classical 1 random 177.56 2.25 0.71 3.45 170.99 223 16426 10 1583 1360
dl classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
rabmoh classical 4 random NA NA NA NA NA NA NA NA NA NA
r7_2_4_h F4 2 random 31.19 0.20 0.07 6.91 21.31 249 23533 14 9285 3812
virasoro classical 1 perturbation 84.99 1.40 0.55 1.24 81.90 128 18425 9 780 652
ilias13 classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
rpblh F4 3 perturbation 115.40 0.23 0.11 2.06 111.72 156 10451 17 37321 1681
econh9 F4 1 random NA NA NA NA NA NA NA NA NA NA
econ9 F4 0 perturbation 19.97 0.22 0.10 3.30 15.50 106 8423 6 10412 1457
i1h classical 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
redcyc7 F4 1 perturbation 77.76 0.57 0.13 12.29 59.36 78 9763 7 14896 2348
discrc2h F4 1 random 0.07 0.05 0.02 0.00 0.01 4 40 6 21 2
i1h F4 4 random 7.24 0.04 0.02 1.27 5.30 194 8574 9 6384 1613
jcf26h F4 0 random 35.72 0.12 0.04 3.48 31.08 182 8100 10 15881 1093
hairer2_0 F4 1 random 26.62 0.26 0.07 3.33 22.29 72 4066 6 12167 945
i1h classical 4 perturbation NA NA NA NA NA NA NA NA NA NA
extcyc6 classical 0 static 1759.85 0.00 0.00 17.83 1739.81 242 37096 11 3174 2521
f744h F4 0 perturbation 14.93 0.11 0.06 1.87 12.07 204 10479 8 8714 1516
gonnet83 F4 0 random 435.71 0.08 0.04 193.62 239.99 1156 8852 11 151747 16517
gonnet83 classical 0 static 418.31 0.00 0.00 60.45 356.31 748 3915 9 9692 8944
redcyc7h F4 2 random 110.96 0.53 0.11 11.09 91.79 442 86579 27 21942 5023
ilias13 F4 2 perturbation 616.43 3.50 0.40 96.59 503.21 254 56838 7 93735 5326
jason210h classical 2 random NA NA NA NA NA NA NA NA NA NA
extcyc6 classical 4 random 3164.32 40.93 5.35 26.60 3090.24 190 29149 27 4205 3349
econh10 classical 2 perturbation 1219.73 13.94 4.72 10.76 1193.41 392 47003 11 2757 2364
r7_2_4_h classical 0 random 184.35 2.69 0.70 3.02 177.94 249 23533 14 1379 1130
jason210 F4 2 random NA NA NA NA NA NA NA NA NA NA
redeco10 F4 2 perturbation 37.40 0.11 0.06 4.59 30.63 257 30776 9 9064 1888
ahml F4 1 random 1623.42 3.01 0.42 53.84 1555.74 59 12235 15 164067 3956
ahmlh classical 0 static 130.43 0.00 0.00 0.59 129.56 142 42331 20 535 393
jason210h F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
gonnet83 F4 0 perturbation 106.99 0.26 0.15 60.80 45.05 756 3760 9 58513 10307
ducos7_3 F4 0 perturbation 64.99 0.63 0.10 8.15 52.69 80 8634 6 8498 1496
econh9 classical 0 random 234.61 2.27 0.82 4.46 227.22 145 13840 12 1217 974
discrc2 classical 1 random 0.22 0.09 0.04 0.01 0.09 13 355 11 41 26
katsuran9 classical 1 random 129.12 1.47 0.40 1.23 125.88 143 26135 9 886 743
schrans_troost F4 0 random 18.07 0.04 0.02 0.85 16.12 128 18425 9 5408 1057
chemkin F4 2 random 7.59 0.04 0.02 1.45 5.43 90 6310 4 3389 741
econ10 classical 1 random 441.04 3.51 1.15 6.61 429.98 203 31810 6 1621 1363
ahmlh F4 0 caboara-perry 66.31 14.89 0.42 0.20 50.35 87 21536 18 10130 249
econh10 F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
econ10 classical 0 perturbation 1505.96 11.83 3.35 48.78 1436.88 257 31031 9 3916 3538
econ10 F4 1 perturbation 132.31 0.46 0.13 15.34 112.22 203 31810 6 26822 3410
pinchon1h classical 2 random 211.27 3.14 0.59 2.15 204.74 172 16797 20 1069 897
schrans_troosth F4 0 static 19.30 0.00 0.00 0.98 17.02 128 18425 9 5211 923
rpblh classical 3 perturbation 81.00 1.48 0.75 1.01 78.19 156 10451 17 790 634
cohn3 classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
mckay classical 3 perturbation NA NA NA NA NA NA NA NA NA NA
chemkinh F4 1 perturbation 485.28 0.43 0.15 3.38 478.98 166 14390 15 52202 2359
chemkin F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
bench1h F4 4 perturbation 56.27 0.10 0.07 2.65 52.37 247 12875 12 29851 2002
jcf26h F4 0 perturbation 20.00 1.12 0.63 3.78 14.08 190 7521 9 8057 1183
r5_2_6_h classical 1 random 64.71 1.99 0.61 1.58 60.72 225 21205 19 845 620
nya classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
mckay classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
rpblh F4 0 static 93.63 0.00 0.00 0.67 92.13 156 10451 17 27295 754
rpblh F4 2 random 113.89 0.10 0.04 1.90 110.60 156 10451 17 37321 1681
nya classical 2 random NA NA NA NA NA NA NA NA NA NA
econ9 classical 0 caboara-perry 1212.78 12.97 1.82 19.40 1172.81 20 2454 31 983 222
virasoroh classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
katsuranh9 classical 4 perturbation 158.39 3.73 1.07 1.40 152.61 143 26135 9 886 743
ilias_k_2 F4 0 static 33.52 0.00 0.00 5.78 25.32 125 15773 5 8160 1233
r5_2_6_h F4 2 perturbation 17.55 0.17 0.06 3.19 12.63 225 21205 19 5644 2145
r7_2_4_h classical 1 perturbation 183.76 3.64 1.13 3.05 176.37 249 23533 14 1379 1130
ahml classical 2 random 208.72 4.19 1.13 19.62 183.09 67 13310 13 2026 1705
f855 classical 3 perturbation NA NA NA NA NA NA NA NA NA NA
cohn3 classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
redeco10 classical 0 caboara-perry 1568.57 84.51 1.24 22.44 1453.00 75 18765 18 1239 773
gonnet83 F4 3 random 1778.76 0.09 0.04 340.40 1434.51 1264 12349 10 316489 17402
virasoro F4 1 random 19.17 0.04 0.02 0.98 16.92 128 18425 9 5408 1057
r5_2_6_h F4 0 static 7.48 0.00 0.00 1.21 5.44 225 21205 19 2886 1032
ahmlh classical 2 random 171.06 3.38 0.91 3.56 163.39 101 21937 20 1159 911
r5_2_6_h F4 1 perturbation 16.40 0.14 0.05 3.13 11.54 225 21205 19 5644 2145
jason210h F4 0 perturbation NA NA NA NA NA NA NA NA NA NA
r9_2_2 F4 2 random 12.46 0.04 0.02 3.12 7.90 223 16428 10 4727 2252
ducos7_5 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
ahmlh F4 0 random 54.62 0.12 0.04 0.35 53.11 81 19138 16 11318 475
redcyc7h classical 3 perturbation 840.23 17.35 3.94 6.62 814.65 442 86579 27 2118 1676
assur44h F4 0 random 22.11 0.04 0.02 1.57 18.99 194 20947 9 6675 1250
redeco10 F4 1 random 253.62 0.29 0.06 11.85 237.22 122 29166 12 34189 1852
extcyc6 classical 0 random 1654.88 26.03 3.88 17.77 1607.29 242 37096 11 3174 2521
mckay classical 4 random NA NA NA NA NA NA NA NA NA NA
hairer2_0 classical 4 perturbation 168.42 11.16 3.28 5.31 151.05 49 1898 6 611 399
hairer2_0 F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
virasoro F4 0 random 19.24 0.04 0.02 0.98 17.00 128 18425 9 5408 1057
r5_2_6_h classical 4 random 140.49 3.29 0.92 2.54 134.00 276 28618 19 1054 777
virasoro F4 3 random 19.88 0.04 0.02 0.98 17.66 128 18425 9 5408 1057
pinchon1 classical 0 static 87.04 0.00 0.00 3.81 82.86 108 6181 4 653 501
virasoro classical 2 perturbation 80.16 1.43 0.55 1.20 77.07 128 18425 9 780 652
nya F4 0 random 42.56 0.04 0.02 4.76 35.87 51 3073 10 6278 704
econ10 classical 0 random 574.10 3.44 0.96 7.99 561.63 203 31810 6 1621 1363
cohn3 classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
r7_2_4_h classical 4 random 182.75 2.67 0.72 3.04 176.28 249 23533 14 1379 1130
virasoro F4 0 static 20.53 0.00 0.00 0.94 18.40 128 18425 9 5211 923
filter9h F4 3 perturbation NA NA NA NA NA NA NA NA NA NA
f744h F4 1 random 14.25 0.03 0.01 1.89 11.44 204 10479 8 8714 1516
bench1h F4 3 perturbation 11.94 0.09 0.06 2.17 8.83 218 10210 9 8685 1730
jason210 classical 4 random NA NA NA NA NA NA NA NA NA NA
dl F4 3 perturbation NA NA NA NA NA NA NA NA NA NA
rabmoh classical 1 random NA NA NA NA NA NA NA NA NA NA
jason210h classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
econ9 classical 0 random 100.54 1.17 0.44 2.82 96.01 80 9050 12 697 518
rabmoh F4 0 static 43.93 0.00 0.00 2.34 40.51 275 17549 14 24884 1497
mckay classical 4 perturbation 2676.35 45.42 6.01 111.12 2514.30 43 2721 10 4014 2949
ahmlh classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
assur44h F4 0 static 5.52 0.00 0.00 0.83 4.10 160 9978 7 3180 1103
ahmlh F4 2 perturbation 280.66 0.92 0.21 7.62 267.44 154 32450 22 47557 2528
schrans_troost classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
ilias_k_2 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
redeco10 classical 0 random 471.34 3.23 0.70 8.70 458.31 87 14171 18 854 571
hairer2_0 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
jcf26h classical 4 random 128.96 3.04 0.78 3.24 121.41 172 6325 9 1027 855
pinchon1h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
filter9h F4 3 random NA NA NA NA NA NA NA NA NA NA
redeco10 classical 3 random 1180.88 11.40 3.26 15.50 1149.32 63 14947 37 1396 972
rpblh classical 0 random 84.91 0.99 0.40 1.01 82.57 156 10451 17 790 634
bench1h classical 1 random NA NA NA NA NA NA NA NA NA NA
econ10 classical 1 perturbation 1814.37 10.14 2.99 63.33 1738.69 260 31190 8 4587 4205
discrc2 F4 1 random 0.58 0.05 0.02 0.01 0.49 12 568 11 962 22
redcyc7h F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
f855 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
chemkinh classical 3 random 257.91 1.79 0.54 1.70 253.87 166 14390 15 1088 922
ahml F4 3 perturbation 42.27 0.16 0.07 0.29 41.25 54 11562 16 11332 253
schrans_troosth classical 3 random 68.94 0.91 0.29 1.04 66.57 128 18425 9 780 652
r9_2_2_h classical 4 random 185.04 2.08 0.56 3.48 178.78 223 16426 10 1583 1360
dl classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
dl classical 1 random NA NA NA NA NA NA NA NA NA NA
econ9 F4 1 perturbation 20.76 0.22 0.09 3.40 16.18 106 8423 6 10412 1457
f855 classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
jason210 classical 0 static 1640.75 0.00 0.00 23.09 1614.82 900 290098 54 5754 4854
schrans_troosth F4 2 random 19.86 0.04 0.02 0.96 17.57 128 18425 9 5408 1057
i1h classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
hairer2_0 F4 4 perturbation 29.81 0.68 0.23 3.83 24.47 72 4066 6 12167 945
rabmoh classical 4 perturbation NA NA NA NA NA NA NA NA NA NA
f744h F4 0 static 14.92 0.00 0.00 1.90 12.15 204 10479 8 8643 1488
econ9 F4 1 random 21.74 0.11 0.04 3.84 16.76 106 8423 6 10412 1457
ilias_k_2 classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
chemkin classical 0 static 64.38 0.00 0.00 1.66 62.45 90 6310 4 686 546
jcf26h classical 0 random 725.16 6.35 1.51 8.00 708.52 282 15686 19 1951 1668
bench1h F4 2 random 16.40 0.05 0.02 1.88 13.56 211 10278 10 10354 1713
ilias13 classical 4 random NA NA NA NA NA NA NA NA NA NA
gonnet83 F4 4 random 1033.11 0.08 0.04 362.84 667.55 1311 8047 10 254731 18471
rpbl classical 4 random 174.88 3.05 1.11 8.58 162.37 72 3318 15 1036 707
extcyc6 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
hairer2_0 classical 0 perturbation 498.07 13.23 3.04 11.64 471.74 66 2945 6 825 536
virasoroh F4 1 perturbation 18.63 0.06 0.03 0.91 16.47 128 18425 9 5408 1057
econ10 classical 3 perturbation 1593.25 13.84 3.72 61.88 1514.88 252 32133 7 5639 5249
hairer2 classical 4 random 133.50 1.70 0.61 7.55 123.48 46 2337 10 604 361
r9_2_2 F4 0 perturbation 13.24 0.07 0.04 3.02 8.75 223 16428 10 4727 2252
ducos7_3 classical 0 caboara-perry 3286.51 654.86 2.19 59.87 2567.20 90 9342 7 1628 863
ilias_k_2 F4 3 random 846.75 2.77 0.34 100.99 726.59 38 5227 30 82848 3051
redcyc7h F4 4 random 131.46 0.61 0.13 13.13 108.98 442 86579 27 21942 5023
r7_2_4_h classical 2 perturbation 178.48 3.81 1.36 2.99 170.98 249 23533 14 1379 1130
katsuranh9 F4 0 static 44.36 0.00 0.00 1.05 41.48 143 26135 9 7810 997
redcyc7h F4 4 perturbation 144.04 1.07 0.26 13.54 119.73 442 86579 27 21942 5023
rpbl F4 3 random 152.94 0.22 0.09 3.35 147.67 126 8997 16 44865 2051
discrc2h classical 0 random 2.68 0.40 0.18 0.08 2.09 18 1789 13 142 101
f855 classical 4 random 1715.85 11.02 2.42 48.75 1646.37 94 6949 8 1608 1131
discrc2h classical 3 perturbation 0.68 0.49 0.29 0.02 0.14 12 460 10 43 23
r7_2_4_h F4 0 perturbation 30.35 0.29 0.10 6.40 20.76 249 23533 14 9285 3812
redcyc7h classical 1 perturbation 841.01 18.07 3.81 6.80 814.33 442 86579 27 2118 1676
r9_2_2_h classical 4 perturbation 213.07 4.20 1.42 4.02 203.95 223 16426 10 1583 1360
assur44h classical 0 random NA NA NA NA NA NA NA NA NA NA
ahmlh classical 0 random 64.28 2.21 0.71 3.20 58.34 71 14996 15 937 739
ilias13 F4 0 perturbation NA NA NA NA NA NA NA NA NA NA
econh10 F4 1 perturbation NA NA NA NA NA NA NA NA NA NA
filter9h classical 3 random NA NA NA NA NA NA NA NA NA NA
schrans_troost classical 1 perturbation 78.93 1.46 0.57 1.16 75.85 128 18425 9 780 652
hairer2 F4 1 random 14.93 0.22 0.08 2.28 12.07 64 3704 5 8023 586
econ10 classical 2 random 517.58 3.59 1.01 7.92 505.08 203 31810 6 1621 1363
rpbl F4 2 random 117.82 0.19 0.08 2.95 113.31 126 8997 16 44865 2051
mckay F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
jcf26h F4 4 random 15.65 0.13 0.04 3.52 11.08 178 6316 9 6945 1095
schrans_troosth F4 0 random 19.72 0.04 0.02 0.98 17.40 128 18425 9 5408 1057
f855 F4 4 perturbation 60.95 0.13 0.07 39.37 19.41 148 9213 4 10739 2320
virasoroh F4 0 random 20.07 0.03 0.01 0.97 17.78 128 18425 9 5408 1057
r5_2_6_h F4 1 random 15.16 0.13 0.04 2.86 10.80 225 21205 19 5644 2145
econ9 classical 3 perturbation 65.40 0.79 0.38 1.90 62.36 106 8423 6 731 591
filter9h F4 4 random 1766.47 1.60 0.44 534.02 1213.23 1642 63691 23 363501 41977
aubry2 classical 0 static 482.16 0.00 0.00 5.57 475.30 79 7215 6 1013 645
rpblh classical 4 random 73.53 1.10 0.45 0.94 71.11 156 10451 17 790 634
f744h F4 3 random 15.16 0.05 0.02 1.76 12.49 204 10479 8 8714 1516
chemkin F4 4 random 7.39 0.05 0.02 1.31 5.38 90 6310 4 3389 741
mckay F4 4 random 42.09 0.04 0.02 4.54 35.69 51 3073 10 6278 704
f744h classical 3 random 127.16 1.44 0.51 2.47 122.59 204 10479 8 1471 1267
discrc2 F4 0 perturbation 64.07 1.12 0.36 1.73 60.13 17 2277 11 34033 562
ilias13 classical 4 perturbation NA NA NA NA NA NA NA NA NA NA
rpbl classical 0 perturbation 137.32 3.49 1.59 9.75 123.19 95 3912 8 1408 1153
chemkinh F4 2 perturbation 641.10 0.49 0.18 3.08 635.06 166 14390 15 52202 2359
chemkinh F4 0 perturbation 643.53 0.51 0.19 3.05 637.55 166 14390 15 52202 2359
chemkinh classical 3 perturbation 243.07 4.80 1.90 1.65 235.89 166 14390 15 1088 922
discrc2 F4 4 random 3.65 0.06 0.03 0.01 3.49 16 1854 9 3904 32
discrc2 classical 4 random 19.49 0.33 0.15 0.23 18.70 23 12094 13 253 193
gonnet83 F4 4 perturbation 117.66 0.30 0.18 64.33 52.04 756 3760 9 58506 10308
ducos7_3 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
rpbl F4 4 perturbation 66.91 0.32 0.14 5.27 60.15 92 3790 8 29699 2049
rpbl F4 0 static 89.78 0.00 0.00 0.69 88.43 126 8997 16 28802 623
discrc2h F4 0 random 1526.99 0.80 0.12 1.09 1520.86 28 15088 17 188364 586
jason210 classical 1 perturbation NA NA NA NA NA NA NA NA NA NA
rabmoh classical 0 random 921.41 6.98 2.01 7.05 906.05 411 32037 13 2436 2024
mckay F4 0 caboara-perry 51.04 11.91 1.28 5.28 31.95 51 3073 10 5682 718
redeco10 F4 2 random 37.99 0.06 0.03 4.16 31.74 257 30776 9 9064 1888
econh9 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
rabmoh F4 3 perturbation NA NA NA NA NA NA NA NA NA NA
pinchon1 F4 0 random 12.93 0.12 0.03 3.43 8.42 108 6181 4 3850 799
r7_2_4_h F4 0 random 29.86 0.20 0.07 5.41 21.90 249 23533 14 9285 3812
bench1h F4 0 caboara-perry 264.40 41.58 1.44 5.32 214.39 311 25284 11 21036 2603
redeco10 classical 0 perturbation 283.89 7.09 2.62 4.84 270.99 257 30776 9 1548 1291
filter9h F4 0 random 1235.38 1.33 0.42 279.62 942.48 1636 59496 24 256672 25811
jason210h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
ahml classical 0 perturbation 229.13 5.08 1.48 35.62 186.64 49 8260 12 4016 3689
rpblh classical 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
f744h classical 0 random 147.10 1.53 0.55 2.76 142.13 204 10479 8 1471 1267
cohn3 classical 4 random NA NA NA NA NA NA NA NA NA NA
chemkinh F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
discrc2h classical 4 perturbation 0.75 0.57 0.36 0.01 0.11 12 460 10 43 23
schrans_troosth classical 0 perturbation 112.10 2.89 1.21 6.09 102.42 131 13139 9 1572 1402
filter9h F4 4 perturbation NA NA NA NA NA NA NA NA NA NA
f744h classical 0 static 124.81 0.00 0.00 2.56 121.84 204 10479 8 1471 1267
ilias_k_2 F4 0 random 541.13 1.14 0.19 36.64 495.39 86 11904 9 74554 2087
extcyc6 F4 0 perturbation 156.05 1.57 0.24 38.17 106.24 242 37096 11 18243 5671
i1h F4 2 perturbation 25.13 0.10 0.06 2.01 22.10 225 11270 12 17474 1821
nya classical 1 random NA NA NA NA NA NA NA NA NA NA
rpbl F4 0 caboara-perry 78.78 37.80 0.74 6.28 33.85 101 7688 12 14079 616
redcyc7 classical 1 random 466.16 9.49 1.74 6.61 446.84 78 9763 7 1428 1003
r9_2_2 classical 1 perturbation 224.39 3.94 1.29 4.19 215.45 223 16428 10 1583 1360
f855 classical 0 caboara-perry 1382.79 70.96 1.70 158.04 1150.85 125 6305 7 1964 1451
chemkin F4 3 perturbation 8.03 0.09 0.05 1.43 5.88 90 6310 4 3389 741
ilias13 classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
ducos7_3 F4 3 random 91.01 0.57 0.09 10.52 74.85 80 8634 6 8498 1496
chemkinh classical 4 random 260.66 2.49 0.83 1.80 255.53 166 14390 15 1088 922
jcf26h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
jcf26h classical 1 random 124.60 2.91 0.77 3.44 116.91 178 6316 9 1035 857
cohn3 classical 0 random NA NA NA NA NA NA NA NA NA NA
filter9h classical 2 random NA NA NA NA NA NA NA NA NA NA
chemkin F4 3 random 9.09 0.04 0.02 1.44 6.90 90 6310 4 3389 741
aubry2 F4 2 perturbation 32.65 0.04 0.03 4.76 25.77 79 7215 6 5881 1020
ilias13 F4 4 perturbation NA NA NA NA NA NA NA NA NA NA
virasoro classical 1 random 91.21 1.05 0.33 1.27 88.41 128 18425 9 780 652
jason210h classical 0 static 1684.84 0.00 0.00 25.28 1655.60 900 290098 54 5754 4854
