Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
ahmlh F4 16 perturbation 1321.81 8.83 1.38 146.25 1141.16 180 40776 20 172255 15367
ahmlh classical 5 perturbation 2207.10 38.31 8.34 534.07 1625.33 81 18653 15 17436 16564
ahml classical 0 random 520.46 12.07 2.58 58.35 447.96 54 11395 12 3328 2832
ahml F4 7 perturbation 45.09 0.30 0.11 0.68 43.34 43 8306 12 9928 345
discrc2 F4 15 random 321.21 0.28 0.08 0.08 320.11 32 13626 14 35559 174
discrc2 classical 0 static 205.21 0.00 0.00 0.30 204.36 92 72529 16 384 292
ahmlh classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
aubry2 classical 10 perturbation 566.91 11.28 2.14 6.17 547.56 79 7215 6 1013 645
ahml F4 8 perturbation 13.32 0.18 0.08 0.43 12.27 28 3783 11 5164 214
discrc2h F4 16 random NA NA NA NA NA NA NA NA NA NA
ahml classical 29 random 1085.47 20.20 3.97 176.94 883.97 62 11805 11 6016 5327
aubry2 F4 22 perturbation 33.39 0.04 0.03 4.50 26.48 79 7215 6 5881 1020
ahml classical 25 perturbation 20.68 0.26 0.14 0.13 20.12 66 13835 15 220 154
discrc2h F4 20 random 13.79 0.06 0.03 0.02 13.51 27 3406 12 11258 63
ahml classical 13 perturbation 466.21 6.28 1.69 40.59 417.41 35 5889 15 2958 2548
discrc2h F4 28 random NA NA NA NA NA NA NA NA NA NA
aubry2 classical 10 random 573.94 8.49 1.52 6.49 556.79 79 7215 6 1013 645
ahmlh F4 0 static 909.44 0.00 0.00 0.45 906.68 142 42331 20 50385 419
ahml F4 29 random 140.26 0.47 0.12 4.18 131.54 49 10266 16 25752 1136
discrc2 F4 20 random 35.13 0.20 0.08 0.19 34.20 12 429 10 17287 139
ahml classical 28 perturbation 20.95 0.24 0.13 0.14 20.41 66 13835 15 220 154
discrc2 classical 6 random 3.58 0.53 0.23 0.53 2.35 5 85 7 236 172
discrc2h classical 15 random 12.74 0.41 0.20 0.13 12.04 29 12160 16 167 115
aubry2 F4 7 random 31.41 0.05 0.03 4.33 25.02 79 7215 6 5881 1020
aubry2 classical 6 random 541.47 8.37 1.41 6.04 525.11 79 7215 6 1013 645
ahmlh classical 9 perturbation NA NA NA NA NA NA NA NA NA NA
ahmlh classical 22 random 42.39 1.10 0.41 0.54 40.41 94 19308 16 426 302
ahmlh F4 10 perturbation 218.91 0.56 0.15 3.91 210.70 154 32450 22 34345 1853
aubry2 F4 24 perturbation 30.21 0.04 0.03 4.31 23.94 79 7215 6 5881 1020
ahml classical 3 perturbation 11.18 0.24 0.12 0.21 10.56 39 6451 12 211 132
discrc2 classical 29 perturbation 0.55 0.30 0.18 0.03 0.18 10 182 7 72 49
ahml F4 15 perturbation 12.37 0.08 0.04 0.10 11.91 32 4827 10 4581 142
discrc2 classical 22 perturbation 3.30 0.93 0.52 0.23 2.03 6 94 7 231 180
ahmlh classical 16 random 176.21 3.51 0.98 3.16 168.67 152 32354 25 1170 898
ahml F4 22 perturbation 29.50 0.12 0.06 0.34 28.40 44 7464 13 6688 228
discrc2 classical 27 perturbation 0.69 0.40 0.25 0.04 0.19 10 182 7 72 49
ahml F4 10 perturbation 110.05 0.75 0.23 5.35 101.59 47 10866 14 21378 894
discrc2h F4 4 perturbation 0.20 0.12 0.08 0.00 0.05 7 195 9 148 7
aubry2 F4 13 perturbation 31.17 0.04 0.03 4.53 24.52 79 7215 6 5881 1020
ahml classical 27 perturbation 177.21 4.22 1.35 32.57 139.04 38 6815 11 3063 2752
discrc2h F4 24 perturbation 10.72 0.34 0.18 0.05 10.05 25 3805 13 9585 125
discrc2 classical 27 random 16.26 0.24 0.11 0.19 15.62 41 15773 13 249 184
discrc2 classical 16 perturbation 0.55 0.30 0.18 0.04 0.18 10 182 7 72 49
discrc2 F4 2 random NA NA NA NA NA NA NA NA NA NA
aubry2 F4 25 perturbation 28.17 0.05 0.03 4.60 21.65 79 7215 6 5881 1020
discrc2h F4 17 perturbation 10.78 0.29 0.15 0.07 10.17 19 1821 11 10655 110
ahmlh classical 8 random 58.55 0.99 0.36 0.72 56.52 120 25872 20 583 428
discrc2 F4 0 static NA NA NA NA NA NA NA NA NA NA
ahml classical 20 perturbation 105.05 2.64 0.82 12.14 89.55 36 6038 12 1733 1494
aubry2 classical 2 perturbation 575.84 11.47 2.05 6.33 555.97 79 7215 6 1013 645
discrc2 classical 10 random 10.20 1.29 0.51 2.24 6.31 15 378 7 672 556
ahmlh classical 22 perturbation NA NA NA NA NA NA NA NA NA NA
discrc2 F4 24 random NA NA NA NA NA NA NA NA NA NA
ahmlh classical 19 random 95.15 2.89 0.80 3.60 88.07 78 14710 15 1022 790
ahml classical 6 perturbation 15.95 0.44 0.20 0.32 15.03 41 7031 16 238 144
ahmlh F4 6 perturbation 520.90 1.26 0.30 11.86 499.91 181 43895 33 78569 3581
discrc2 F4 27 random 1723.29 0.87 0.14 1.43 1715.52 41 15773 13 111061 990
discrc2h F4 18 random NA NA NA NA NA NA NA NA NA NA
discrc2 classical 25 perturbation 2.82 0.58 0.33 0.33 1.80 8 132 7 267 209
discrc2 F4 16 perturbation 0.72 0.19 0.11 0.03 0.45 10 269 7 930 51
ahml F4 0 random 23.13 0.09 0.04 0.19 22.35 51 9190 12 7633 283
discrc2h classical 5 perturbation 0.66 0.47 0.28 0.02 0.13 12 460 10 43 23
aubry2 classical 9 perturbation 573.98 10.40 1.92 6.19 555.58 79 7215 6 1013 645
discrc2h F4 6 random 9305.92 0.23 0.07 0.09 9301.47 38 44375 18 226921 198
aubry2 F4 9 random 27.32 0.04 0.02 4.41 21.04 79 7215 6 5881 1020
aubry2 classical 13 perturbation 575.16 10.57 1.94 6.30 556.57 79 7215 6 1013 645
discrc2h F4 3 random 22.28 0.16 0.06 0.13 21.49 15 1488 12 15222 191
discrc2 classical 2 perturbation NA NA NA NA NA NA NA NA NA NA
discrc2 F4 10 perturbation 0.16 0.08 0.05 0.00 0.06 6 111 7 197 12
ahmlh classical 12 random 1994.45 23.56 4.46 132.10 1834.39 115 30618 20 7629 6829
discrc2h classical 4 random 13.01 0.59 0.29 0.20 12.01 41 12046 16 251 184
ahml F4 17 random 358.43 0.61 0.24 2.87 350.73 42 14856 24 44554 700
aubry2 classical 29 perturbation 585.64 10.73 2.13 6.22 566.93 79 7215 6 1013 645
discrc2 F4 12 perturbation 7.28 0.09 0.06 0.02 7.00 19 3409 10 8336 42
discrc2 classical 21 perturbation 95.35 1.27 0.60 0.30 93.41 66 40961 16 371 289
ahml classical 8 random 7.49 0.17 0.08 0.09 7.14 51 9242 12 167 113
ahmlh F4 13 random 542.38 0.27 0.05 3.60 532.24 257 90247 20 34757 1813
ahmlh F4 5 perturbation NA NA NA NA NA NA NA NA NA NA
ahml classical 5 random 20.10 0.49 0.17 0.32 19.12 43 9445 16 247 151
aubry2 classical 15 random 506.16 7.42 1.25 5.57 491.47 79 7215 6 1013 645
discrc2 F4 3 random 0.14 0.05 0.02 0.00 0.07 8 127 6 251 15
ahmlh F4 28 perturbation 2106.92 17.74 2.63 419.77 1622.37 108 26599 19 255896 28791
discrc2 classical 28 perturbation 4.27 0.98 0.53 0.63 2.51 20 1434 10 311 239
aubry2 classical 11 random 570.36 7.74 1.33 6.26 554.65 79 7215 6 1013 645
discrc2h F4 12 perturbation 0.18 0.11 0.07 0.00 0.05 7 195 9 148 7
ahmlh classical 0 static 111.81 0.00 0.00 0.50 111.06 142 42331 20 535 393
ahml classical 1 perturbation 117.08 3.60 1.07 22.60 90.10 29 4326 12 1599 1317
aubry2 F4 5 random 26.09 0.03 0.02 3.98 20.35 79 7215 6 5881 1020
discrc2h F4 29 perturbation 14.13 0.34 0.16 0.08 13.34 18 1434 12 15324 134
discrc2 classical 1 perturbation 0.76 0.38 0.23 0.07 0.26 6 75 6 109 80
ahmlh F4 4 random 79.10 0.15 0.04 0.17 77.94 89 25263 15 10357 220
ahml F4 23 perturbation 59.50 0.24 0.08 1.58 56.54 44 8177 14 15156 514
ahml F4 14 random 41.81 0.10 0.04 0.49 40.50 61 11644 11 11485 376
discrc2h F4 10 perturbation 9.96 0.29 0.15 0.05 9.36 25 2665 13 13662 124
ahmlh classical 26 perturbation NA NA NA NA NA NA NA NA NA NA
discrc2h F4 27 random 1.76 0.05 0.02 0.01 1.65 13 1146 11 2342 17
discrc2h F4 11 random 0.46 0.05 0.02 0.00 0.38 10 455 9 897 13
discrc2 F4 26 perturbation 0.11 0.08 0.05 0.00 0.01 3 20 4 26 7
aubry2 classical 16 random 583.07 7.66 1.45 6.23 567.48 79 7215 6 1013 645
discrc2h classical 23 random 0.23 0.09 0.04 0.01 0.09 9 324 9 32 17
aubry2 F4 0 caboara-perry 302.44 160.37 3.46 52.69 85.26 92 8928 7 13210 1336
aubry2 classical 11 perturbation 611.67 10.81 1.92 6.51 592.52 79 7215 6 1013 645
discrc2h F4 8 perturbation 7.44 0.32 0.16 0.06 6.83 18 1434 12 8412 108
discrc2 F4 24 perturbation 0.15 0.09 0.05 0.00 0.04 6 105 10 80 9
ahml F4 16 perturbation 116.28 0.23 0.08 1.42 113.29 52 11213 18 19459 455
discrc2 classical 11 perturbation 3.31 0.61 0.34 0.11 2.47 46 5075 12 208 156
discrc2 F4 27 perturbation 0.10 0.08 0.05 0.00 0.01 3 20 4 26 7
aubry2 classical 2 random 587.82 7.49 1.29 6.41 572.14 79 7215 6 1013 645
aubry2 F4 26 perturbation 29.57 0.05 0.03 4.54 23.00 79 7215 6 5881 1020
aubry2 F4 27 random 29.87 0.04 0.02 4.49 23.22 79 7215 6 5881 1020
ahml classical 18 random 10.99 0.27 0.11 0.25 10.31 40 6917 12 250 175
discrc2 F4 16 random 0.09 0.03 0.01 0.00 0.04 6 92 5 173 12
aubry2 classical 14 random 511.59 7.35 1.32 5.62 496.98 79 7215 6 1013 645
aubry2 F4 0 static 28.16 0.00 0.00 4.07 22.36 79 7215 6 5838 1009
ahml classical 0 perturbation 249.14 5.11 1.45 38.44 203.89 49 8260 12 4016 3689
ahml F4 4 random 364.86 1.55 0.29 14.99 343.41 48 8700 14 56562 2328
ahml classical 8 perturbation 36.38 0.61 0.26 1.12 34.33 46 8734 16 505 374
ahml F4 17 perturbation 36.96 0.11 0.05 0.32 35.95 49 9155 12 7745 275
ahmlh F4 0 random 64.44 0.15 0.05 0.42 62.64 81 19138 16 11318 475
ahmlh F4 22 random 182.44 0.16 0.04 0.50 179.97 93 28562 17 24094 591
ahml classical 26 perturbation 63.50 1.56 0.56 3.14 58.04 39 10138 18 776 594
ahmlh F4 21 random 111.19 0.16 0.05 0.65 108.41 98 27913 17 17269 624
ahml classical 15 perturbation 105.66 3.08 1.04 12.55 89.06 27 4484 14 2176 1925
ahml F4 11 random 33.03 0.09 0.03 0.24 32.15 54 11621 12 10031 251
aubry2 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
ahml classical 13 random 5.11 0.14 0.07 0.08 4.82 45 6991 12 152 102
ahmlh classical 14 random 82.65 2.26 0.70 4.02 75.81 74 12725 14 1060 833
aubry2 classical 19 random 576.22 7.71 1.46 6.19 560.59 79 7215 6 1013 645
ahml classical 25 random 647.22 11.34 2.71 57.73 575.61 49 9172 10 3217 2706
discrc2h classical 28 perturbation 0.67 0.46 0.28 0.03 0.14 8 318 10 57 36
ahmlh classical 27 random 33.98 0.64 0.21 0.25 32.91 73 22555 15 268 180
discrc2 classical 17 perturbation 3.46 0.91 0.51 0.47 1.94 7 97 7 302 235
discrc2h F4 9 perturbation 0.27 0.11 0.07 0.00 0.13 8 241 10 417 9
discrc2h classical 5 random 8.35 0.71 0.33 0.54 6.90 32 4816 14 369 279
ahmlh F4 27 perturbation 1340.67 7.57 1.25 116.61 1194.11 74 13131 13 177980 13630
discrc2h classical 8 perturbation 0.61 0.43 0.26 0.01 0.13 12 460 10 43 23
ahml F4 13 perturbation 15.35 0.08 0.04 0.22 14.70 32 4955 13 4968 153
discrc2 classical 12 random 4.94 0.53 0.23 0.36 3.90 7 122 6 280 214
discrc2h classical 25 perturbation 0.60 0.43 0.26 0.01 0.13 12 460 10 43 23
ahml F4 12 perturbation 53.71 0.23 0.09 1.25 51.11 40 6948 13 11428 498
ahml classical 17 random 125.36 2.43 0.66 4.87 116.36 27 6100 18 888 625
ahml classical 14 random 44.65 1.27 0.42 1.57 41.51 52 9688 12 521 362
aubry2 classical 7 perturbation 585.88 10.54 1.91 6.33 567.29 79 7215 6 1013 645
discrc2 classical 9 perturbation 12.30 1.46 0.75 0.76 9.85 46 5757 12 453 347
ahml F4 19 random 226.15 1.32 0.24 14.51 206.03 56 12362 15 42301 1581
ahmlh classical 13 random 1632.32 30.68 6.14 199.22 1397.61 111 23016 17 8049 7200
discrc2 classical 18 random 10.88 0.51 0.21 0.38 9.83 13 4413 13 260 194
ahmlh F4 2 perturbation 300.28 0.89 0.21 8.39 285.92 154 32450 22 47557 2528
aubry2 classical 29 random 588.11 7.84 1.30 6.32 572.24 79 7215 6 1013 645
ahmlh classical 24 random 97.02 2.09 0.66 2.28 92.10 112 22900 24 867 657
ahmlh F4 20 random 772.94 0.18 0.04 0.50 769.34 84 32395 16 43107 500
discrc2 classical 24 random 572.20 2.50 0.51 1.34 567.12 86 140052 17 720 565
ahmlh F4 2 random 172.47 0.17 0.05 0.67 169.21 103 31830 20 20558 634
discrc2h F4 19 perturbation 17.36 0.38 0.18 0.09 16.44 18 1434 12 15324 134
aubry2 F4 24 random 30.73 0.04 0.02 4.58 24.09 79 7215 6 5881 1020
ahml F4 13 random 1382.34 5.49 0.78 136.51 1223.82 67 13661 14 148048 8863
discrc2 classical 0 localsearch 0.19 0.17 0.04 0.00 0.00 3 20 4 3 0
ahmlh F4 11 perturbation 410.90 0.86 0.21 5.01 400.35 183 41712 22 45324 1947
discrc2h classical 16 random 21.27 0.28 0.14 0.20 20.65 25 12471 16 184 131
discrc2 F4 14 perturbation 0.11 0.09 0.05 0.00 0.01 3 20 4 26 7
discrc2h F4 14 perturbation 16.18 0.34 0.16 0.09 15.14 18 1434 12 15324 134
discrc2 F4 8 random 1.76 0.05 0.02 0.03 1.62 24 983 11 1323 54
ahmlh F4 26 random 262.05 0.21 0.05 0.71 258.70 103 32814 16 22319 651
aubry2 F4 4 perturbation 30.11 0.04 0.03 4.46 23.65 79 7215 6 5881 1020
ahmlh F4 1 random 332.52 0.75 0.14 6.18 320.56 107 24526 18 47375 1989
ahmlh classical 25 perturbation NA NA NA NA NA NA NA NA NA NA
ahmlh F4 22 perturbation NA NA NA NA NA NA NA NA NA NA
discrc2 F4 17 perturbation 0.17 0.14 0.09 0.00 0.01 4 35 5 33 8
ahmlh F4 24 random 294.42 0.22 0.07 0.73 291.08 102 28939 16 25225 651
aubry2 F4 18 perturbation 34.72 0.05 0.03 4.85 27.69 79 7215 6 5881 1020
ahmlh classical 13 perturbation NA NA NA NA NA NA NA NA NA NA
ahmlh classical 2 random 172.01 4.25 1.12 3.38 163.40 101 21937 20 1159 911
discrc2h classical 16 perturbation 0.72 0.55 0.34 0.01 0.11 12 460 10 43 23
ahmlh classical 6 random 1638.64 15.02 3.02 39.24 1580.02 105 38827 20 4056 3443
discrc2h F4 24 random 1.00 0.06 0.03 0.01 0.87 18 1357 11 1529 35
ahmlh classical 8 perturbation NA NA NA NA NA NA NA NA NA NA
aubry2 classical 23 random 491.73 8.77 1.44 5.51 475.42 79 7215 6 1013 645
aubry2 F4 6 perturbation 34.77 0.04 0.03 3.92 28.92 79 7215 6 5881 1020
ahml classical 9 perturbation 37.36 0.96 0.35 2.63 33.32 41 7342 13 754 594
ahmlh F4 6 random NA NA NA NA NA NA NA NA NA NA
discrc2h classical 20 random 0.40 0.19 0.10 0.01 0.15 9 485 9 32 15
discrc2h classical 9 perturbation 1.05 0.72 0.45 0.03 0.24 11 616 10 62 39
discrc2 classical 26 random 7.12 1.49 0.62 1.26 4.05 5 74 5 431 341
discrc2h F4 18 perturbation 25.59 0.49 0.24 0.11 24.48 19 1821 11 17599 135
discrc2 classical 5 perturbation 102.10 13.88 4.71 25.66 60.77 20 2438 10 3131 2871
ahmlh classical 23 random 24.77 0.97 0.38 0.55 22.95 61 10537 14 380 267
aubry2 F4 21 random 35.73 0.05 0.03 4.83 28.54 79 7215 6 5881 1020
ahml F4 0 perturbation 49.05 0.39 0.15 1.47 46.21 48 8580 13 11950 427
ahmlh classical 29 random 46.54 1.52 0.56 0.75 43.90 79 18602 18 499 365
ahmlh classical 0 caboara-perry 1758.48 1194.78 0.93 3.36 558.93 270 124502 28 1133 863
discrc2 classical 15 random 2.11 0.19 0.09 0.14 1.69 13 657 9 147 98
discrc2h F4 16 perturbation 0.18 0.10 0.06 0.00 0.05 7 195 9 148 7
aubry2 classical 28 perturbation 619.35 12.05 2.61 6.17 598.44 79 7215 6 1013 645
aubry2 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
aubry2 classical 25 random 712.48 11.03 2.12 7.73 690.83 79 7215 6 1013 645
discrc2 classical 17 random 2.22 0.49 0.23 0.21 1.39 4 35 5 131 89
ahmlh F4 15 perturbation NA NA NA NA NA NA NA NA NA NA
ahml F4 15 random 93.34 0.24 0.10 0.44 91.45 56 11534 13 16580 453
